rate,balance,id,rate_3,user_id
0.3,4121,109787158979,0.1,test
0.2,4866,3366401499056,0.4,laima
0.3,5402,3928433797751,0.1,demo
0.4,2411,1577627317355,0.1,laima
0.1,667,2699486577630,0.3,laima
0.1,3131,2974326859436,0.1,oliver
0.1,3563,2204147122612,0.4,test
0.1,4201,1794907052757,0.2,oliver
0.5,2361,1511022498677,0.1,laima
0.4,911,2877454226500,0.4,demo
0.5,1228,3742814659995,0.1,laima
0.5,1867,2340789059598,0.5,oliver
0.1,1436,4341519730377,0.3,test
0.2,1141,3042252570347,0.4,laima
0.5,2186,696968441394,0.1,genie
0.4,1812,2825500445768,0.2,oliver
0.3,1061,4164466050390,0.3,test
0.3,1890,2680170160259,0.4,demo
0.3,1327,1362331451156,0.3,genie
0.4,2941,3257513569534,0.4,laima
0.3,2470,3039133555808,0.3,oliver
0.2,3401,3836896203013,0.2,demo
0.2,4652,2343861409770,0.5,demo
0.3,4891,2125454753401,0.1,oliver
0.5,1327,2895040200315,0.5,oliver
0.4,1916,4392055182198,0.1,oliver
0.1,758,1582646704419,0.4,laima
0.4,491,2785419621808,0.5,laima
0.3,1090,4015788114871,0.1,demo
0.3,2751,3523305600318,0.3,demo
0.1,3456,941491304382,0.4,genie
0.4,4490,3723025236568,0.2,laima
0.1,4442,2810898587957,0.4,demo
0.2,1835,1046628141746,0.1,genie
0.2,1595,704369410403,0.4,demo
0.5,1583,4098919745349,0.3,oliver
0.5,1072,3360116061433,0.5,genie
0.3,5041,2142019490077,0.4,test
0.5,2154,3324083541187,0.5,laima
0.2,2592,2505103350485,0.3,demo
0.2,1400,402557498258,0.5,test
0.3,481,3069326770924,0.5,oliver
0.1,3853,1468093070090,0.2,test
0.5,2497,1476332458567,0.3,oliver
0.3,3568,1409614135742,0.2,demo
0.1,3044,3676576355087,0.1,test
0.3,4199,2484277935162,0.3,laima
0.1,895,3141971777688,0.3,laima
0.5,2825,1950265212493,0.1,laima
0.5,5399,1968956390446,0.1,genie
0.4,5128,517960395513,0.3,oliver
0.3,2362,1874264584577,0.3,oliver
0.1,3149,4222501350084,0.1,oliver
0.2,3089,1094548605618,0.5,oliver
0.5,4142,3518149808706,0.3,test
0.2,3763,2910955367445,0.2,oliver
0.3,4543,456235311135,0.1,test
0.1,3336,2089738670584,0.2,demo
0.4,1390,2710220601265,0.3,oliver
0.1,2438,422640199044,0.1,genie
0.1,885,2961839231870,0.1,oliver
0.4,3522,152405945483,0.2,test
0.4,495,3046267544529,0.2,test
0.1,4977,3215963381422,0.1,oliver
0.3,3448,3025986814935,0.3,test
0.5,2690,3009469993145,0.2,oliver
0.4,5380,629592408192,0.1,demo
0.4,5392,1176724033400,0.1,genie
0.5,3786,2330893206675,0.2,oliver
0.2,1988,4376837593241,0.2,oliver
0.5,879,520381756862,0.4,genie
0.2,1310,4341038016708,0.1,demo
0.4,3850,2180305087084,0.1,laima
0.5,3295,3801647103903,0.2,oliver
0.1,4930,2001546009046,0.3,test
0.1,429,275742436555,0.3,oliver
0.5,2508,1356219478979,0.4,laima
0.4,1940,557871061412,0.1,test
0.5,2329,4136961815684,0.1,test
0.5,718,3795601396637,0.3,oliver
0.1,3445,2868550910779,0.1,demo
0.3,2154,915570361752,0.5,demo
0.1,3465,3218698838478,0.2,genie
0.5,1860,4251609896173,0.5,test
0.5,3193,410524932222,0.3,genie
0.5,2688,432792393182,0.3,test
0.5,3663,1401643463398,0.5,laima
0.5,3570,2650218500235,0.2,oliver
0.2,1033,2473056808465,0.1,test
0.4,5282,3269904315762,0.4,demo
0.2,3539,11673732621,0.4,demo
0.5,2360,1169592333138,0.4,genie
0.2,3686,900247576114,0.1,genie
0.4,4035,688720626090,0.3,oliver
0.4,3646,623413966388,0.2,genie
0.3,1369,1625510668347,0.3,demo
0.5,4582,2943021390368,0.5,demo
0.5,661,929416850473,0.5,laima
0.4,1640,1851305008517,0.1,laima
0.5,3251,3054909469540,0.4,laima
